table_name,columns,admissibility
CAT_ASSOC_PriceMatchDistributorLocation,PriceMatchDistributorLocationID;PriceMatchID;DistributorLocationID,REJECTED_NO_GOVERNED_LCZ_MAPPING
CAT_ASSOC_PriceMatchStore,PriceMatchStoreID;PriceMatchID;StoreID,REJECTED_NO_GOVERNED_LCZ_MAPPING
CAT_ASSOC_ProductMFRSKUDistributorLocation,ProductMFRSKUDistributorLocationID;ProductMFRSKUID;DistributorLocationID,REJECTED_NO_GOVERNED_LCZ_MAPPING
COM_InternalStoreVisit,InternalStoreVisitID;FileRowId;StartTime;CompletionTime;Email;Name;StoreVisitDate;StoreVisitTime;StoreNumber;AssociateNameAndEmail;AssociateGoOverSalesNumber;AssociateComfortableWithSystem;CurrentPromoReviewed;MissingOrOutdatedSamples;AssociateOpinionAboutFabricator;ResetTakingPlace;RetailStore;AssociateHaveMetisMembershipLogin;HostedEventType;AdditionalCustomerFeedback;AdditionalFeedback;VisitType;ResolvedActionsTaked;CabinetInstaller;LinkForVisitPhotos,REJECTED_NO_GOVERNED_LCZ_MAPPING
COM_LCZLookup,LCZLookupID;CompanyId;ZipCode,REJECTED_NO_GOVERNED_LCZ_MAPPING
COM_Location,LocationID;CompanyID;LocationCode;LocationName;Address1;Address2;Zip;City;State;CountryCode;Phone;Fax;DefaultLocationFlag;ExcludeFromPortal;CreatedBy;CreatedOn;LastUpdatedBy;LastUpdatedOn;TaxRate;TaxExemptNbr;Inactive;ContactName;WillCall;Lat;Lon;ShowroomHours;LocationMapAwsS3Key,REJECTED_NO_GOVERNED_LCZ_MAPPING
COM_LocationFreightCustomerType,LocationFreightCustomerTypeID;LocationID;MOFreightCustomerTypeID;DistributorAssignmentID;POFreightCustomerTypeID;Inactive,REJECTED_NO_GOVERNED_LCZ_MAPPING
COM_StoreVisit,StoreVisitID;FileRowId;StartTime;CompletionTime;Email;Name;CompanyId;CompanyName;FormCompletedBy;StoreVisitDate;StoreVisitTime;StoreNumber;ScheduledVisitOrDropIn;MeetWithToday;AssociateName;AssociateEmail;AssociateHaveMetisMembershipLogin;EmailedCustomerServiceToCreateAssociate;AssociateOpinionAboutSystem;ItemsApplied;CurrentPromoReviewed;DisplaySamplesUpToDate;MissingOrOutdatedSamples;ReorderNumbersProvided;SpokenToMst;MstEmailAddress;SpokenToSasm;SasmName;SasmEmailAddress;SalesNumbersReviewed;CounterTopsFeedback;OverallCondition;AdditionalFeedback;MeetSomeoneToday;FirstNameLastName;WhichRetailAccount;WhoMeetWithToday,REJECTED_NO_GOVERNED_LCZ_MAPPING
QTE_TerritoryZipAssignment,TerritoryZipID;PriceTerritoryID;ZipCode,REJECTED_NO_GOVERNED_LCZ_MAPPING
SHR_UserLocation,LocationID;CreatedBy;CreatedOn;LastUpdatedBy;LastUpdatedOn;GUID;UserLocationID;UserID,REJECTED_NO_GOVERNED_LCZ_MAPPING
SHR_UserStore,UserStoreID;CompanyID;CreatedBy;CreatedOn;UserID,REJECTED_NO_GOVERNED_LCZ_MAPPING
SHR_ZipCode,ZipCodeID;ZipCode;City;State;CountryCode;Latitude;Longitude;Class,REJECTED_NO_GOVERNED_LCZ_MAPPING
SHR_ZipCode_ClosestStore,ZipCodeID;ParentCompanyID;ClosestStoreID;DistanceToClosestStoreInMeters;IsDrivingDistance;ID,REJECTED_NO_GOVERNED_LCZ_MAPPING
