sku,lcz,channel2_order_count,channel2_sku_units,cost_source_verdict,units_lcz_verdict,reason,units_evidence,source_sha256,mapping_sha256
1324386,LC-13,0,0,UNAVAILABLE-IN-APPROVED-SOURCE,PAIR_ZERO_PROVEN,No accepted effective-dated order/store-to-LCZ mapping; no SKU aggregate allocated across LCZs.,channel2-sku-aggregate.csv,2c48aa6c32108f468e071577afbca70c56854db7055dc1a3cfeeb067befadb43,NONE
201314,LC-01,0,0,UNAVAILABLE-IN-APPROVED-SOURCE,PAIR_ZERO_PROVEN,No accepted effective-dated order/store-to-LCZ mapping; no SKU aggregate allocated across LCZs.,channel2-sku-aggregate.csv,2c48aa6c32108f468e071577afbca70c56854db7055dc1a3cfeeb067befadb43,NONE
201314,LC-13,0,0,UNAVAILABLE-IN-APPROVED-SOURCE,PAIR_ZERO_PROVEN,No accepted effective-dated order/store-to-LCZ mapping; no SKU aggregate allocated across LCZs.,channel2-sku-aggregate.csv,2c48aa6c32108f468e071577afbca70c56854db7055dc1a3cfeeb067befadb43,NONE
420469,LC-01,0,0,UNAVAILABLE-IN-APPROVED-SOURCE,PAIR_ZERO_PROVEN,No accepted effective-dated order/store-to-LCZ mapping; no SKU aggregate allocated across LCZs.,channel2-sku-aggregate.csv,2c48aa6c32108f468e071577afbca70c56854db7055dc1a3cfeeb067befadb43,NONE
420470,LC-13,0,0,UNAVAILABLE-IN-APPROVED-SOURCE,PAIR_ZERO_PROVEN,No accepted effective-dated order/store-to-LCZ mapping; no SKU aggregate allocated across LCZs.,channel2-sku-aggregate.csv,2c48aa6c32108f468e071577afbca70c56854db7055dc1a3cfeeb067befadb43,NONE
420488,LC-13,0,0,UNAVAILABLE-IN-APPROVED-SOURCE,PAIR_ZERO_PROVEN,No accepted effective-dated order/store-to-LCZ mapping; no SKU aggregate allocated across LCZs.,channel2-sku-aggregate.csv,2c48aa6c32108f468e071577afbca70c56854db7055dc1a3cfeeb067befadb43,NONE
1086071,LC-01,1,8,UNAVAILABLE-IN-APPROVED-SOURCE,LCZ_UNRESOLVED,No accepted effective-dated order/store-to-LCZ mapping; no SKU aggregate allocated across LCZs.,channel2-sku-aggregate.csv,2c48aa6c32108f468e071577afbca70c56854db7055dc1a3cfeeb067befadb43,NONE
117318,LC-13,4,4,UNAVAILABLE-IN-APPROVED-SOURCE,LCZ_UNRESOLVED,No accepted effective-dated order/store-to-LCZ mapping; no SKU aggregate allocated across LCZs.,channel2-sku-aggregate.csv,2c48aa6c32108f468e071577afbca70c56854db7055dc1a3cfeeb067befadb43,NONE
420345,LC-13,12,217,UNAVAILABLE-IN-APPROVED-SOURCE,LCZ_UNRESOLVED,No accepted effective-dated order/store-to-LCZ mapping; no SKU aggregate allocated across LCZs.,channel2-sku-aggregate.csv,2c48aa6c32108f468e071577afbca70c56854db7055dc1a3cfeeb067befadb43,NONE
420458,LC-13,23,313,UNAVAILABLE-IN-APPROVED-SOURCE,LCZ_UNRESOLVED,No accepted effective-dated order/store-to-LCZ mapping; no SKU aggregate allocated across LCZs.,channel2-sku-aggregate.csv,2c48aa6c32108f468e071577afbca70c56854db7055dc1a3cfeeb067befadb43,NONE
