table_name,column_ordinal,column_name,declared_type,is_not_null,pk_position
CAT_ASSOC_PriceMatchDistributorLocation,0,PriceMatchDistributorLocationID,INT,1,0
CAT_ASSOC_PriceMatchDistributorLocation,1,PriceMatchID,INT,1,0
CAT_ASSOC_PriceMatchDistributorLocation,2,DistributorLocationID,INT,1,0
CAT_ASSOC_PriceMatchStore,0,PriceMatchStoreID,INT,1,0
CAT_ASSOC_PriceMatchStore,1,PriceMatchID,INT,1,0
CAT_ASSOC_PriceMatchStore,2,StoreID,INT,1,0
CAT_ASSOC_ProductMFRSKUDistributorLocation,0,ProductMFRSKUDistributorLocationID,INT,1,0
CAT_ASSOC_ProductMFRSKUDistributorLocation,1,ProductMFRSKUID,INT,1,0
CAT_ASSOC_ProductMFRSKUDistributorLocation,2,DistributorLocationID,INT,1,0
CAT_Division,5,LastUpdatedBy,nvarchar(128),1,0
CAT_Division,6,LastUpdatedOn,datetime2(2),1,0
CAT_PriceMatch,4,StartDate,date,1,0
CAT_PriceMatch,5,EndDate,date,0,0
CAT_PriceMatch,9,LastUpdatedBy,varchar(50),1,0
CAT_PriceMatch,10,LastUpdatedOn,datetime2(2),1,0
CAT_PriceMatchItem,6,LastUpdatedBy,varchar(50),1,0
CAT_PriceMatchItem,7,LastUpdatedOn,datetime2(2),1,0
CAT_PriceMatchRange,6,LastUpdatedBy,varchar(50),1,0
CAT_PriceMatchRange,7,LastUpdatedOn,datetime2(2),1,0
CAT_Product,18,LastUpdatedBy,varchar(50),1,0
CAT_Product,19,LastUpdatedOn,datetime2(2),1,0
CAT_Product,23,InactiveDate,date,0,0
CAT_Product,61,ProgramStartDate,date,0,0
CAT_Product,62,ProgramEndDate,date,0,0
CAT_ProductCategory,5,LastUpdatedBy,varchar(50),1,0
CAT_ProductCategory,6,LastUpdatedOn,datetime2(2),1,0
CAT_ProductDimension,4,LastUpdatedBy,varchar(50),1,0
CAT_ProductDimension,5,LastUpdatedOn,datetime2(2),1,0
CAT_ProductException,7,LastUpdatedBy,varchar(50),1,0
CAT_ProductException,8,LastUpdatedOn,datetime2(2),1,0
CAT_ProductException,9,LocationID,INT,0,0
CAT_ProductLine,5,LastUpdatedBy,varchar(50),1,0
CAT_ProductLine,6,LastUpdatedOn,datetime2(2),1,0
CAT_ProductMFRSKU,9,LastUpdatedBy,varchar(50),1,0
CAT_ProductMFRSKU,10,LastUpdatedOn,datetime2(2),1,0
CAT_ProductMFRSKU,14,InactiveDate,date,0,0
CAT_ProductUOM,5,LastUpdatedBy,varchar(50),1,0
CAT_ProductUOM,6,LastUpdatedOn,datetime2(2),1,0
CAT_SubProductCategory,6,LastUpdatedBy,varchar(50),1,0
CAT_SubProductCategory,7,LastUpdatedOn,datetime2(2),1,0
CAT_SubProductLine,7,LastUpdatedBy,varchar(50),1,0
CAT_SubProductLine,8,LastUpdatedOn,datetime2(2),1,0
COM_Budget,4,DatePeriod,date,1,0
COM_Budget,7,LastUpdatedBy,varchar(50),1,0
COM_Budget,8,LastUpdatedOn,datetime2(2),1,0
COM_CFIDealerAssignment,4,LastUpdatedBy,varchar(50),1,0
COM_CFIDealerAssignment,5,LastUpdatedOn,datetime2(2),1,0
COM_CFIDealerAssignment,9,StartDate,datetime,0,0
COM_CFIDealerAssignment,10,EndDate,datetime,0,0
COM_Company,0,CompanyID,INT,1,0
COM_Company,1,CompanyCode,varchar(41),0,0
COM_Company,2,CompanyName,varchar(256),1,0
COM_Company,3,ParentCompanyID,INT,0,0
COM_Company,4,Phone,varchar(100),0,0
COM_Company,5,Fax,varchar(100),0,0
COM_Company,6,ContractStartDate,datetime,0,0
COM_Company,7,ContractEndDate,datetime,0,0
COM_Company,8,CompanyTypeID,INT,1,0
COM_Company,9,LogoFileName,varchar(128),0,0
COM_Company,10,PA_Address1,varchar(256),0,0
COM_Company,11,PA_Address2,varchar(256),0,0
COM_Company,12,PA_Zip,varchar(20),0,0
COM_Company,13,PA_City,varchar(128),0,0
COM_Company,14,PA_State,varchar(30),0,0
COM_Company,15,PA_CountryCode,varchar(2),0,0
COM_Company,16,MA_Attention,varchar(100),0,0
COM_Company,17,MA_Address1,varchar(256),0,0
COM_Company,18,MA_Address2,varchar(256),0,0
COM_Company,19,MA_Zip,varchar(20),0,0
COM_Company,20,MA_City,varchar(128),0,0
COM_Company,21,MA_State,varchar(30),0,0
COM_Company,22,MA_CountryCode,varchar(2),0,0
COM_Company,23,CreatedBy,varchar(50),1,0
COM_Company,24,CreatedOn,datetime2(2),1,0
COM_Company,25,LastUpdatedBy,varchar(50),1,0
COM_Company,26,LastUpdatedOn,datetime2(2),1,0
COM_Company,27,GUID,uniqueidentifier,1,0
COM_Company,28,VendorNumber,varchar(32),0,0
COM_Company,29,WebSiteUrl,varchar(128),0,0
COM_Company,30,Note,varchar,0,0
COM_Company,31,CustomerTypeID,INT,0,0
COM_Company,32,Region,varchar(255),0,0
COM_Company,33,District,INT,0,0
COM_Company,34,County,varchar(32),0,0
COM_Company,35,DetailFee,"decimal(10,3)",0,0
COM_Company,36,PriceRegionID,INT,0,0
COM_Company,37,Inactive,bit,1,0
COM_Company,38,Email,varchar(256),0,0
COM_Company,39,TermFromID,INT,0,0
COM_Company,40,TermToID,INT,0,0
COM_Company,41,CreditLimit,"decimal(12,5)",0,0
COM_Company,42,LiabilityInsExp,date,0,0
COM_Company,43,AutoInsExp,date,0,0
COM_Company,44,WorkCompExp,date,0,0
COM_Company,45,BackgroundCheck,bit,0,0
COM_Company,46,ValidShipDays,tinyint,0,0
COM_Company,47,CDC,varchar(10),0,0
COM_Company,48,CustomerNumber,varchar(40),0,0
COM_Company,49,TaxRate,"decimal(4,2)",0,0
COM_Company,50,TaxID,varchar(16),0,0
COM_Company,51,TaxExemptID,varchar(16),0,0
COM_Company,52,SalesRepID,INT,0,0
COM_Company,53,StockingOrderWorkflowID,INT,0,0
COM_Company,54,TimeZoneID,INT,0,0
COM_Company,55,SalesMngrID,INT,0,0
COM_Company,56,SalesChannelID,INT,0,0
