Date,Description,Debit/Credit,Balance,Name,Additional information,IMAD/trace ID,Bill due date,Bill number,Bill notes
2026-08-14,"VERCEL INC., COVINA, CA",-22.08,10882.77,,,,,,
2026-08-13,"RAMBUR, INC, ACH",2750.0,10904.85,"RAMBUR, INC",ACH,256074974343567,,,
2026-08-11,"STRIPE, TRANSFER",66.17,8154.85,STRIPE,TRANSFER,111000028897346,,,
2026-08-07,"RAMBUR, INC, ACH",5000.0,8088.68,"RAMBUR, INC",ACH,256074974331861,,,
2026-08-01,Interest earned in July 2026,2.29,3088.68,,,,,,
2026-07-15,"VERCEL INC., COVINA, CA",-44.16,3086.39,,,,,,
2026-07-13,"RAMBUR, INC, ACH",2500.0,3130.55,"RAMBUR, INC",ACH,256074974270215,,,
2026-07-10,"RAMBUR, INC, ACH",10.0,630.55,"RAMBUR, INC",ACH,256074974266088,,,
2026-06-08,"COSTCO GAS #0061, FEDERAL WAY, WAUS",-46.23,620.55,,,,,,
2026-06-08,"COSTCO GAS #0061, FEDERAL WAY, WAUS",-29.89,,,,,,,
2026-05-19,"STRIPE, TRANSFER",4.51,696.67,,,,,,
2026-05-11,"PRAESYN.COM, AUBURN, WA",-5.0,-5.0,,,,,,
2026-04-18,"MARBLISM.COM, DOVER, DE",-257.0,692.16,,,,,,
2026-04-18,"MICROSOFT#G153395425, MSBILL.INFO, WA",-79.34,,,,,,,
2026-04-17,"SQ *LUV-A-LATTE ESPRES, TACOMA, WA",-6.9,1028.5,,,,,,
2026-04-16,"MARBLISM.COM, DOVER, DE",-35.0,1035.4,,,,,,
2026-04-13,"STRIPE, TRANSFER",970.4,1070.4,,,,,,
2026-02-04,Transfer from Robinhood (6362),100.0,100.0,,,,,,
